City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Suntar,RU,62.1444,117.6319,0.07,99,79,2.24,broken clouds
281,Samarai,PG,-10.6167,150.6667,81.63,79,100,10.89,overcast clouds
282,Xingcheng,CN,40.6167,120.7167,47.16,75,55,18.63,broken clouds
283,Puerto Lopez,CO,4.0845,-72.956,78.75,79,100,7.09,overcast clouds
284,Malpe,IN,13.35,74.7167,85.3,76,82,5.01,broken clouds
285,Maniitsoq,GL,65.4167,-52.9,33.19,70,15,2.44,few clouds
286,Hasaki,JP,35.7333,140.8333,46.8,92,100,33.8,light rain
287,Dingle,PH,10.9995,122.6711,76.44,89,100,6.96,overcast clouds
288,Okha,RU,53.5739,142.9478,25.48,76,43,8.77,scattered clouds
289,Arcata,US,40.8665,-124.0828,52.41,94,100,9.22,mist
290,Muros,ES,42.7762,-9.0603,57.69,48,5,17.0,clear sky
291,Witu,KE,-2.3889,40.4382,81.01,78,60,9.84,broken clouds
292,Belmonte,BR,-15.8631,-38.8828,82.85,65,34,5.84,scattered clouds
293,Zaterechnyy,RU,44.7931,45.2097,46.78,79,70,9.48,broken clouds
294,Cabedelo,BR,-6.9811,-34.8339,86.67,62,27,13.42,scattered clouds
295,Auki,SB,-8.7676,160.7034,77.02,91,100,7.94,overcast clouds
296,Great Yarmouth,GB,52.6083,1.7305,56.44,88,100,21.12,overcast clouds
297,Tessalit,ML,20.1986,1.0114,103.75,3,1,15.35,clear sky
298,Sibolga,ID,1.7427,98.7792,76.57,85,80,3.65,broken clouds
299,Kautokeino,NO,69.0125,23.0412,16.38,92,100,7.78,overcast clouds
300,Helong,CN,42.5397,128.9972,41.23,67,50,6.02,scattered clouds
301,Sambava,MG,-14.2667,50.1667,78.91,87,96,9.78,light rain
302,Ndjole,GA,-0.1783,10.7649,79.83,82,92,2.55,overcast clouds
303,Portland,US,45.5234,-122.6762,51.96,84,75,16.11,broken clouds
304,Shiraz,IR,29.6036,52.5388,72.84,11,0,9.22,clear sky
305,Najran,SA,17.4924,44.1277,79.45,9,0,6.87,clear sky
